,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
0,51,31,55,46,41,94,29,3,32,37,96,1,30,91,47,4,39,37,44,94,54,82,4,74,74,80,25,58,32,32,71,80,95,53,7,18,77,77,74,19,90,92,81,2,45,8,8,70,69,74,90,56,78,82,5,55,89,9,33,26,91,55,70,12,99,11,18,41,59,8,83,37,92,54,18,1,92,99,51,83,84,75,21,61,25,61,88,76,26,23,51,35,44,85,31,98,79,44,60,48,93,71,82,68,49,17,93,15,14,11,1,95,60,27,50,52,61,41,47,60,27,61,13,82,21,60,61,10,33,58,49,85,54,39,52,49,41,81,44,41,33,50,14,19,4,56,14,1,91,45,23,94,8,46,69,92,92,82,69,97,77,19,73,62,52,41,20,55,14,15,12,25,43,88,36,62,72,72,54,38,90,62,61,4,14,67,71,21,94,67,9,51,28,20,17,71,10,68,56,21,16,5,43,36,33,73,21,69,40,22,15,58,1,89,44,99,50,83,42,89,13,6,28,8,15,72,25,32,15,59,39,3,8,95,39,18,27,87,63,74,51,12,85,74,70,48,4,71,9,93,49,61,10,89,94,13,17,91,81,10,87,67,49,56,13,43,48,3,53,5,44,30,74,93,38,18,32,25,74,39,44,7,60,69,14,6,80,82,78,75,51,83,35,47,47,78,43,9,21,42,1,28,2,99,69,14,79,67,38,89,11,19,49,49,12,23,78,91,11,4,35,58,93,11,57,38,47,10,65,70,36,2,18,69,48,78,81,72,55,88,2,56,34,75,9,38,21,17,74,34,68,27,63,11,85,9,20,35,73,37,48,30,5,4,47,4,79,91,43,87,54,79,13,36,81,54,51,32,37,59,87,62,54,97,65,46,1,35,98,96,90,42,22,16,92,92,21,64,98,72
1,97,55,72,81,48,58,68,78,31,94,96,95,67,38,99,81,76,32,62,48,8,6,22,7,80,38,51,63,53,22,55,9,73,61,95,7,5,29,10,62,41,13,50,90,60,34,93,1,49,41,68,88,50,5,92,76,67,56,50,75,74,65,6,25,85,62,82,57,45,22,62,84,83,31,69,76,71,66,60,75,64,35,84,81,38,88,6,29,75,54,85,58,68,38,48,12,92,90,43,21,15,36,9,7,1,99,7,2,23,90,76,76,9,94,76,52,60,11,91,71,20,78,36,55,25,92,15,72,53,55,28,80,9,27,71,47,72,10,24,63,69,7,26,32,37,31,82,44,4,42,76,98,63,79,87,91,82,21,22,90,77,30,68,81,47,83,75,52,23,84,33,80,67,78,86,11,10,18,48,95,30,73,80,30,50,27,34,86,32,4,11,58,60,81,9,95,84,35,20,22,19,87,3,61,16,22,38,59,54,78,59,64,51,42,70,12,79,97,87,99,63,94,86,60,71,85,46,1,59,13,25,3,98,59,72,76,86,84,2,66,23,38,52,37,56,95,17,96,37,50,59,5,5,96,84,95,16,55,98,97,47,52,68,42,7,63,44,67,68,40,20,9,93,5,15,55,75,28,29,55,19,19,8,34,52,29,37,2,34,9,65,32,36,47,56,97,79,49,31,38,83,94,8,89,8,20,50,41,76,59,84,95,96,71,30,11,50,32,98,54,61,79,64,63,45,30,83,89,13,70,49,68,78,48,22,11,20,98,10,20,69,51,70,83,20,98,51,47,16,37,37,99,29,59,15,34,59,64,32,40,77,19,54,22,68,16,7,84,59,29,98,10,61,80,14,13,1,22,8,31,88,7,82,65,2,5,39,38,43,19,57,42,34,27,68,56,99,78,4,43
2,83,35,17,76,78,94,45,34,68,88,52,61,79,61,86,68,68,55,47,24,91,41,82,27,21,82,86,70,65,37,19,22,33,88,86,17,16,67,72,31,66,19,8,7,37,9,90,99,25,80,76,99,74,17,59,63,42,20,14,7,81,16,14,45,70,87,96,11,36,52,92,28,93,63,67,35,85,38,29,6,35,57,41,83,74,73,9,4,5,31,32,58,62,87,70,39,12,35,41,88,60,84,48,99,3,33,47,77,37,74,16,72,55,55,80,58,33,77,96,81,68,62,50,22,20,99,42,75,1,85,51,38,23,9,54,22,15,28,7,92,98,34,5,4,45,88,57,90,82,74,11,9,20,53,21,28,64,1,32,97,18,7,51,22,6,33,17,62,84,60,53,91,31,71,43,88,10,17,33,84,21,30,43,57,40,17,38,87,30,68,60,47,42,98,25,97,45,24,28,3,67,51,42,36,31,69,30,81,55,35,25,59,1,28,8,28,9,28,50,95,1,6,44,65,39,82,73,21,12,51,30,97,32,48,36,34,38,51,19,96,40,27,23,34,22,20,88,3,17,98,38,50,60,92,73,78,5,70,4,57,66,11,84,10,36,63,27,37,50,85,15,62,23,43,82,43,77,23,54,45,76,49,81,32,36,2,33,48,86,56,91,60,99,27,49,41,60,75,6,83,25,62,71,58,18,21,16,83,35,36,97,16,95,22,37,26,1,44,49,92,22,67,7,78,4,22,72,99,43,2,37,27,52,31,80,5,85,78,36,83,49,63,5,64,88,10,64,27,11,82,82,89,46,30,78,72,43,44,85,15,25,61,99,91,44,62,67,13,83,19,58,53,89,94,19,88,10,23,42,21,56,75,28,39,48,58,48,41,62,48,35,48,54,82,51,1,15,61,5,93
3,46,59,29,57,42,91,10,19,18,44,35,75,74,17,36,38,62,25,25,76,79,33,27,73,99,90,61,39,41,9,42,86,48,16,45,65,35,95,9,28,57,6,50,60,18,66,65,63,9,41,81,79,98,6,69,8,10,41,18,90,44,61,71,74,37,45,53,57,10,30,58,54,78,18,6,55,85,64,37,84,45,88,95,75,80,27,49,32,25,71,33,49,57,2,41,2,13,69,87,95,59,1,69,80,38,58,12,8,47,36,97,4,19,44,90,10,25,56,67,83,27,68,16,76,22,25,40,43,62,68,69,19,49,72,37,22,85,50,62,26,24,76,47,72,77,44,33,81,10,66,75,91,77,8,7,71,1,31,96,85,89,65,52,30,76,75,51,77,52,74,78,6,80,86,35,21,1,50,5,5,53,24,15,83,17,58,43,15,55,34,91,20,64,83,86,85,67,7,15,64,48,45,4,64,99,69,71,88,76,99,14,8,61,19,52,75,26,64,88,45,47,48,99,80,26,97,33,14,34,33,68,37,93,35,30,5,78,37,76,19,32,90,87,11,14,5,43,27,54,81,34,42,54,26,79,62,53,79,27,55,74,24,58,3,30,49,84,12,24,80,56,5,39,36,38,12,42,71,54,50,53,2,28,16,67,65,4,67,44,81,27,59,80,15,31,48,85,77,13,93,37,58,6,41,83,70,99,32,45,82,64,90,36,49,8,46,93,59,64,47,75,8,82,24,53,34,39,89,23,76,49,83,3,78,8,12,2,15,53,92,39,78,78,15,28,11,67,73,22,71,64,75,7,85,19,25,75,90,66,6,87,64,77,83,11,88,41,85,41,1,36,65,85,34,19,48,22,5,48,7,38,69,43,2,10,25,21,5,90,83,25,52,84,65,54,15,10,66,1,74
4,7,23,65,59,52,3,66,24,14,6,47,20,22,27,28,79,2,48,32,48,43,55,21,79,11,97,66,87,94,72,10,37,69,87,60,84,31,16,43,38,30,90,45,6,60,68,15,51,17,59,46,65,96,77,69,68,35,37,95,73,77,34,52,56,48,96,79,3,48,20,2,32,62,70,75,54,97,23,20,24,44,23,79,14,86,54,53,95,15,48,46,54,81,50,4,19,6,45,51,17,24,9,25,52,11,39,92,64,25,83,47,54,70,80,31,16,2,95,29,95,38,40,14,32,24,19,27,28,21,85,6,6,67,55,68,78,76,50,93,18,3,72,48,90,92,1,99,88,96,57,38,83,24,5,13,51,66,16,78,20,91,54,12,44,26,14,35,58,38,4,72,11,25,25,50,64,56,26,40,16,55,81,89,90,53,12,22,35,44,49,27,44,94,5,16,93,34,2,62,1,88,53,96,43,10,81,56,18,11,88,97,67,73,2,86,67,95,16,98,18,55,78,99,83,67,13,98,65,54,28,73,95,4,66,27,49,90,71,11,10,81,57,14,4,31,14,61,73,18,48,30,78,69,39,27,68,2,79,3,35,62,69,42,41,58,15,1,3,10,74,89,6,95,24,88,78,91,59,50,72,66,88,81,73,24,80,55,82,71,24,60,42,22,13,50,61,3,51,32,8,4,22,19,85,50,84,49,76,27,3,11,60,61,95,23,31,65,76,95,15,18,90,32,26,16,95,3,91,1,62,41,91,59,18,46,36,47,55,92,93,36,95,82,43,33,74,79,3,91,8,85,11,64,17,48,66,44,20,69,81,87,8,35,24,86,70,55,63,41,76,50,18,1,29,92,65,14,27,9,45,24,4,22,81,83,51,62,85,9,74,37,6,7,3,71,8,11,27,10,54
5,42,67,94,60,11,72,72,16,47,32,11,35,57,14,90,65,99,98,28,68,6,57,66,26,31,8,18,25,63,61,27,16,93,60,10,7,91,25,95,98,4,21,8,89,84,34,94,64,43,35,44,94,79,58,40,31,95,27,36,10,92,23,27,37,95,59,56,17,4,75,42,56,40,2,45,93,54,81,27,22,17,66,81,34,83,90,76,45,17,18,91,90,18,59,57,5,30,94,31,48,44,62,22,31,92,51,65,52,3,54,27,33,74,64,54,26,72,33,87,36,78,13,76,49,55,44,43,87,8,72,98,52,49,19,3,98,48,78,71,48,60,72,74,40,61,40,38,75,37,77,15,64,77,20,96,67,54,45,95,68,70,34,13,75,69,86,3,27,44,50,22,75,51,10,27,65,78,61,20,68,66,30,94,71,58,28,56,82,71,59,93,73,45,13,36,46,73,83,13,22,65,18,90,33,69,34,80,68,99,76,34,63,39,96,9,88,96,64,83,2,63,96,26,46,38,38,88,12,2,28,93,86,93,37,54,63,73,65,54,49,47,25,89,75,17,8,81,22,50,65,72,29,75,54,13,67,36,36,36,60,99,56,2,44,98,9,8,33,50,9,11,32,4,96,13,6,18,41,40,76,24,72,12,21,90,9,27,22,59,37,58,29,16,41,84,43,85,9,5,1,3,8,61,19,39,76,86,36,88,56,49,74,73,15,17,71,61,59,69,26,5,13,13,23,79,49,29,67,62,92,17,24,15,12,27,25,77,36,48,81,85,15,19,90,28,22,9,87,69,13,89,93,96,74,24,34,97,49,69,94,28,44,80,91,44,10,73,97,30,32,32,87,16,40,42,70,95,36,80,69,90,5,42,81,2,13,98,19,20,20,94,64,4,74,8,66,39,73,12,94
6,26,11,74,38,21,61,32,1,90,18,36,20,60,6,67,56,55,19,55,7,84,62,32,75,56,53,19,92,28,41,68,23,19,50,13,25,3,16,84,7,45,30,30,69,8,41,93,71,13,90,70,28,88,73,18,24,88,96,4,88,77,5,26,48,3,86,42,65,55,7,34,90,2,68,66,38,11,52,64,60,40,30,54,20,68,57,15,71,85,39,35,69,43,64,72,92,64,79,94,31,75,31,8,76,88,72,34,58,91,84,80,57,86,32,56,46,70,74,32,99,15,53,50,63,26,20,44,31,35,11,60,62,25,34,87,29,45,77,45,89,31,56,90,9,26,50,46,55,21,89,43,46,85,14,27,29,98,21,88,59,73,9,57,15,93,80,79,94,76,20,74,24,45,84,20,98,63,83,45,82,21,88,43,12,48,55,94,3,20,81,79,81,36,99,65,56,15,70,28,30,58,90,9,76,47,15,41,20,45,37,73,11,19,63,41,57,76,51,7,84,19,22,15,68,25,63,43,69,32,8,34,9,13,64,80,27,10,81,99,88,15,82,11,65,6,5,25,80,17,55,67,26,62,35,2,36,52,42,51,46,48,15,87,33,24,81,63,89,40,42,77,72,61,85,98,5,72,7,44,12,84,38,29,89,68,59,7,43,85,20,63,51,44,66,46,10,86,9,75,71,27,78,45,86,35,76,4,15,30,67,1,71,21,97,31,63,49,41,2,55,54,56,23,38,60,82,44,7,68,81,71,2,60,13,60,46,55,24,6,36,9,29,81,73,10,37,33,78,27,14,67,29,95,85,68,11,7,97,92,33,35,58,36,75,83,49,10,90,5,22,37,48,83,1,95,63,78,38,50,9,35,20,61,84,80,24,16,20,43,43,93,16,87,91,46,82,72,35,30,50
7,68,98,99,70,12,55,72,71,86,55,72,99,88,35,8,53,17,24,38,3,81,49,96,63,9,15,56,48,59,58,42,7,10,33,62,27,70,30,56,61,33,35,20,55,85,56,61,97,49,25,78,6,79,15,61,23,61,8,9,43,13,77,39,45,51,40,16,6,5,49,97,76,94,86,20,8,30,40,38,63,66,54,63,25,26,46,27,85,22,9,42,3,26,69,24,55,38,13,69,9,16,56,88,25,56,4,45,67,5,22,51,75,99,66,50,67,46,80,36,81,65,30,55,97,38,99,53,97,46,1,35,96,60,27,59,16,79,7,6,49,59,78,92,78,75,44,67,39,11,78,93,38,91,82,54,11,69,79,80,33,16,36,24,23,61,88,60,17,85,61,56,61,83,99,19,42,39,84,66,41,90,70,23,31,4,47,82,78,52,60,88,93,3,9,96,77,59,61,7,86,71,59,78,2,30,39,73,16,21,59,37,73,66,91,74,84,82,53,1,69,35,44,97,64,13,31,15,95,74,85,85,84,24,20,8,22,57,32,25,51,16,75,19,87,17,53,20,72,49,79,47,90,74,4,61,71,10,93,76,88,85,37,48,6,47,3,35,37,90,99,13,91,44,13,37,29,45,99,71,30,23,77,50,73,54,12,39,94,4,62,18,30,87,14,77,75,40,24,6,49,35,64,16,61,11,15,32,19,39,8,61,56,48,82,51,71,81,28,43,11,2,69,17,40,81,23,83,40,52,55,47,64,30,68,90,14,55,28,14,14,37,51,21,89,58,58,68,13,83,66,25,59,43,46,8,87,17,31,96,41,85,54,56,6,99,11,26,60,85,2,86,64,27,16,69,57,5,23,95,63,12,57,1,41,20,25,24,35,47,3,95,92,72,43,1,72,90,15,88,6
8,34,8,68,72,48,92,13,97,78,2,24,60,89,63,5,4,71,22,66,6,88,78,21,5,71,78,12,52,78,98,1,83,44,96,37,85,13,91,58,41,57,38,97,97,22,44,48,90,24,89,85,96,26,39,9,58,22,67,29,30,62,44,58,99,74,83,6,63,64,20,52,75,52,15,14,51,22,41,67,22,89,42,2,38,38,36,6,90,24,5,97,41,41,89,36,69,12,91,33,55,81,96,55,98,63,62,68,22,61,65,41,64,3,58,71,23,64,57,23,96,40,39,1,94,49,75,98,7,72,45,63,62,80,63,14,99,68,74,89,29,63,48,85,1,16,45,96,83,23,7,27,34,15,50,67,22,59,57,5,77,54,47,76,61,12,47,70,3,37,21,23,24,89,17,92,9,38,99,8,16,20,5,42,65,29,78,18,86,98,85,59,13,58,65,62,51,18,85,38,47,44,15,67,96,46,48,4,34,18,3,80,11,13,11,81,92,14,83,15,94,74,44,9,46,80,26,40,65,5,85,90,57,79,96,28,97,56,87,93,44,99,24,96,4,57,16,24,72,11,97,29,40,79,82,56,99,73,76,5,26,86,84,34,72,75,16,59,56,17,85,41,83,58,28,17,75,46,68,2,8,80,86,27,36,6,54,42,16,64,67,36,81,85,89,73,7,57,64,64,42,22,72,36,44,84,95,71,5,69,5,72,15,46,64,96,50,31,61,12,45,39,32,42,36,15,33,56,14,70,98,87,90,38,94,86,13,98,37,57,54,4,49,86,1,76,36,1,1,12,11,11,90,91,54,9,39,22,33,87,46,85,25,53,12,64,29,76,51,54,83,50,87,1,83,68,34,97,39,25,16,53,35,1,39,85,93,82,38,64,23,66,10,86,5,38,84,30,16,69,10
9,85,76,61,56,19,46,60,17,50,51,15,43,89,56,57,39,79,54,83,92,64,81,19,72,12,99,24,73,34,25,40,45,87,66,29,39,30,96,86,3,97,72,56,31,14,23,86,52,91,76,65,68,97,58,48,19,97,94,67,37,6,78,71,61,61,93,59,80,3,33,40,26,54,64,64,70,38,9,26,61,9,64,58,89,58,18,35,48,66,69,20,73,49,11,44,8,80,19,13,17,41,56,72,61,23,81,23,73,19,44,32,18,49,74,87,37,7,27,72,24,72,39,84,78,98,1,40,15,89,49,29,94,55,53,63,96,44,10,7,36,77,9,94,38,96,96,84,10,51,79,40,25,62,5,8,49,49,87,39,25,98,32,20,58,13,46,11,71,95,15,78,84,69,12,77,30,44,43,1,42,99,77,61,41,8,77,32,4,5,64,78,2,11,24,96,5,72,58,85,89,8,27,90,83,73,93,48,53,58,42,11,32,24,24,42,77,94,87,65,67,52,12,39,51,53,48,6,11,37,25,33,5,4,85,55,91,15,84,40,5,12,61,37,80,26,8,75,17,39,93,40,86,40,68,60,76,20,66,63,24,20,98,15,6,44,70,70,79,17,88,57,18,19,69,40,29,73,22,44,50,31,98,78,39,4,92,60,44,87,74,58,82,56,38,32,89,19,62,22,45,33,55,22,74,52,26,94,28,72,99,79,6,10,65,46,74,60,78,26,67,72,58,89,26,33,86,12,59,28,14,19,24,13,39,78,75,78,48,51,59,11,3,52,20,64,63,12,40,83,59,98,51,27,28,21,75,4,55,31,88,79,79,71,96,9,70,84,95,99,59,34,20,47,46,41,62,22,33,45,5,92,97,41,75,46,35,26,53,34,37,98,48,82,75,76,30,3,67,7,88
